100 2

 0   	        0              0
 0.0034090	0.0088040      0
 0.0057220	0.0108990      0
 0.0104980	0.0141920      0
 0.0227290	0.0202250      0
 0.0474670	0.0295220      0
 0.0723670	0.0369390      0
 0.0973520	0.0432090      0
 0.1474760	0.0533980      0
 0.1977190	0.0612670      0
 0.2480330	0.0673620      0
 0.2983960	0.0718730      0
 0.3487880	0.0749750      0
 0.3991940	0.0767290      0
 0.4496040	0.0770030      0
 0.5000000	0.0756950      0
 0.5503610	0.0726740      0
 0.6006680	0.0682300      0
 0.6509060	0.0625590      0
 0.7010640	0.0558420      0
 0.7511290	0.0481900      0
 0.8010940	0.0397400      0
 0.8509540	0.0306420      0
 0.9007050	0.0209940      0
 0.9503560	0.0109390      0
 1.0000000	0              0

 0     	        0              0
 0.0065910	-0.0063040     0
 0.0092780	-0.0073990     0
 0.0145020	-0.0088420     0
 0.0272710	-0.0109250     0
 0.0525330	-0.0137220     0
 0.0776330	-0.0157390     0
 0.1026480	-0.0173590     0
 0.1525240	-0.0197480     0
 0.2022810	-0.0214670     0
 0.2519670	-0.0226120     0
 0.3016040	-0.0232730     0
 0.3512120	-0.0234750     0
 0.4008060	-0.0231790     0
 0.4503960	-0.0222530     0
 0.5000000	-0.0205450     0
 0.5496390	-0.0182500     0
 0.5993320	-0.0162360     0
 0.6490940	-0.0142190     0
 0.6989360	-0.0122000     0
 0.7488710	-0.0101760     0
 0.7989060	-0.0081490     0
 0.8490460	-0.0061170     0
 0.8992950	-0.0040810     0
 0.9496440	-0.0020410     0
 1.0             0.0           0
